url,experience,work_format,salary,employment_type,skills
https://hh.ru/vacancy/120338693?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, Docker, Machine Learning, Английский — B2 — Средне-продвинутый"
https://hh.ru/vacancy/120338693?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, Docker, Machine Learning, Английский — B2 — Средне-продвинутый"
https://hh.ru/vacancy/120338679?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, Docker, Machine Learning, Английский — B2 — Средне-продвинутый"
https://hh.ru/vacancy/80321762?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/118354500?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/118354543?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120321719?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"NLP, LLM, Machine Learning"
https://hh.ru/vacancy/117558803?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, Алгоритмы и структуры данных, PyTorch, Математическая статистика, TensorFlow, Scikit-learn, LoRa/QLoRa, Numpy, pandas, AI"
https://hh.ru/vacancy/119958507?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,до 500 000 ₽ за месяц до вычета налогов,Полная занятость,"SQL, MLflow, Greenplum, Python, Управление командой, Big Data"
https://hh.ru/vacancy/120027646?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,от 250 000 до 350 000 ₽ за месяц на руки,Полная занятость,MLflow
https://hh.ru/vacancy/119383740?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя или гибрид,от 217 000 ₽ за месяц на руки,Полная занятость,"Computer Vision, Классическое машинное обучение, TensorFlow, PyCharm"
https://hh.ru/vacancy/120316276?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,,
https://hh.ru/vacancy/119802809?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: гибрид,от 120 000 ₽ за месяц на руки,Полная занятость,"Python, Linux, Git"
https://hh.ru/vacancy/120322197?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,от 180 000 до 250 000 ₽ за месяц до вычета налогов,Полная занятость,"Python, Julia, Flux, ComfyUI, TensorRT, ONNX, Machine Learning, Stable Diffusion, Image generation, Generative AI, Работа с нейросетями, LLM, LoRa"
https://hh.ru/vacancy/120038950?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119918962?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, Алгоритмы и структуры данных, SQL, Big Data"
https://hh.ru/vacancy/120338244?query=ML&hhtmFrom=vacancy_search_list,более 6 лет,Формат работы: удалённо,от 4 000 до 8 000 $ за месяц до вычета налогов,Полная занятость,"Python, SQL, Алгоритмы и структуры данных, Математическая статистика, Английский — B2 — Средне-продвинутый"
https://hh.ru/vacancy/119393281?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,от 2 000 $ за месяц до вычета налогов,Полная занятость,
https://hh.ru/vacancy/119927833?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, Алгоритмы и структуры данных, Big Data, Hadoop, Spark"
https://hh.ru/vacancy/119949785?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"Python, Apache Airflow, PostgreSQL, GitLab CI, Hadoop, PySpark, Apache Hive"
https://hh.ru/vacancy/118973322?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119656929?query=ML&hhtmFrom=vacancy_search_list,1–3 года,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,"LLM, RAG, REST API, Linux, Docker, Python, PyTorch, Английский — A1 — Начальный"
https://hh.ru/vacancy/119656929?query=ML&hhtmFrom=vacancy_search_list,1–3 года,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,"LLM, RAG, REST API, Linux, Docker, Python, PyTorch, Английский — A1 — Начальный"
https://hh.ru/vacancy/119587590?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,от 120 000 ₽ за месяц до вычета налогов,Полная занятость,"Python, OpenCV, pandas, Numpy, SQL, TensorFlow, PyTorch, Scikit-learn, Linux, Git, Docker"
https://hh.ru/vacancy/120151107?query=ML&hhtmFrom=vacancy_search_list,не требуется,Формат работы: удалённо,от 2 000 $ за месяц на руки,Полная занятость,"OpenAI, Git, Python, Работа с нейросетями, LLM, PROMT, GPT, NLP, VLLM, Английский — B2 — Средне-продвинутый"
https://hh.ru/vacancy/119599095?query=ML&hhtmFrom=vacancy_search_list,более 6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"machine learning, Python, C++, PyTorch, Linux, Bash, Docker, Git, Английский — B2 — Средне-продвинутый"
https://hh.ru/vacancy/119395041?query=ML&hhtmFrom=vacancy_search_list,более 6 лет,Формат работы: удалённо,от 5 000 до 7 000 $ за месяц на руки,Полная занятость,"MongoDB, Docker, PostgreSQL, swarm, Prometheus, ELK, Clickhouse, sentry, MySQL, DevOps, Elasticsearch, Kubernetes, Git, CI/CD, GitLab CI, RabbitMQ, k8s, Ansible, Английский — B1 — Средний"
https://hh.ru/vacancy/119378723?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,до 350 000 ₽ за месяц до вычета налогов,Полная занятость,"Машинное обучение, Python, Scala, MLOps, Docker, Kubernetes, CI/CD, Airflow"
https://hh.ru/vacancy/119787194?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, SQL"
https://hh.ru/vacancy/118461834?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя или удалённо,Уровень дохода не указан,Полная занятость,"LLM, Whisper, RAG"
https://hh.ru/vacancy/119556856?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,до 300 000 ₽ за месяц до вычета налогов,Полная занятость,"Python, Deep Learning, Natural Language Processing, Docker"
https://hh.ru/vacancy/120292397?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119779124?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120288713?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119249003?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,Английский — B2 — Средне-продвинутый
https://hh.ru/vacancy/119249004?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,Английский — B2 — Средне-продвинутый
https://hh.ru/vacancy/118354560?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"Deep Learning, NLP, PyTorch, RecSys, LLM"
https://hh.ru/vacancy/120031342?query=ML&hhtmFrom=vacancy_search_list,не требуется,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/118019728?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120337638?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,до 150 000 ₽ за месяц до вычета налогов,Полная занятостьВозможно временное оформление,
